timestamp_utc,source,status,item_count,error
2026-09-04 12:56:49 UTC,HF Daily Papers,ok,10,
2026-09-04 12:56:49 UTC,arXiv,empty,0,
2026-09-04 13:13:22 UTC,HF Daily Papers,ok,10,
2026-09-04 13:13:22 UTC,arXiv,ok,10,
